INPUT:id	INPUT:phrase	INPUT:sentence	INPUT:sense
544	degree	The only difference resides in the degree of generosity, which one deigns to grant to immigrants.	a position on a scale of intensity or amount or quality,a specific identifiable position in a continuum or series or especially in a process,an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study,a measure for arcs and angles,the highest power of a term or variable,a unit of temperature on a specified scale,the seriousness of something (e.g.\, a burn or crime)
545	problem	In his program, François Hollande confines himself to banalities, saying that co-development would allow our immigration problem to be solved.''	a state of difficulty that needs to be resolved,a question raised for consideration or solution,a source of difficulty
546	burden	This notion of immigration being a burden and a problem, may be an electoral asset, but it is economically very costly.	an onerous or difficult concern,weight to be borne or conveyed,the central meaning or theme of a speech or literary work,the central idea that is expanded in a document or discourse,weight down with a load,impose a task upon\, assign a responsibility to
547	Migration	As the economists Ian Goldin and Geoffrey Cameron, remind us in a recent book summarising the most recent knowledge of immigration( Exceptional People: How Migration Shaped Our World and Will Define Our Future, mai 2011, Princeton University Press, 352 pp.), there is wide consensus among specialists on the positive impact of migration flows on economic growth, wages and employment in countries, which admit immigrants.	the movement of persons from one country or locality to another,a group of people migrating together (especially in some given time period),(chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule,the periodic passage of groups of animals (especially birds or fishes) from one region to another for feeding or breeding
548	immigration	Restraining immigration leads to anaemic growth and harms employment.	migration into a place (especially migration to a country of which you are not a native in order to settle there),the body of immigrants arriving during a specified interval
549	workers	Fears about the impact of immigrants are based on the notion that they are liable to replace native workers, in particular unskilled ones, exerting downward pressure on wages.	a person who works at a specific occupation,a member of the working class (not necessarily employed),sterile member of a colony of social insects that forages for food and cares for the larvae,a person who acts and gets things done
550	replacements	But experience shows that in reality immigrants are much more complementary to, rather than replacements of, local labor, exercising trades in which there is a shortage of local labor.	the act of furnishing an equivalent person or thing in the place of another,someone who takes the place of another person,an event in which one thing is substituted for another,a person or thing that takes or can take the place of another,filling again by supplying what has been used up,a person who follows next in order
551	wages	A positive effect on wages	something that remunerates,carry on (wars\, battles\, or campaigns)
552	effect	In the same way as a surgeon would find it difficult to work in a country with a shortage of anaesthetists, the complementarities existing between locals and immigrants bring it about that the arrival of immigrants has a positive effect on the pay of locals.	a phenomenon that follows and is caused by some previous phenomenon,an outward appearance,an impression (especially one that is artificial or contrived),the central meaning or theme of a speech or literary work,(of a law) having legal validity,a symptom caused by an illness or a drug,produce,act so as to bring into existence
553	winners	And does so without taking into account the fact that the diversity contributed by immigrants contributes to the creation of ideas and to economic growth( a large proportion of naturalised immigrants are among American Nobel prize winners, whilst Google, Intel, Paypal, eBay and Yahoo were all founded by immigrants).	the contestant who wins the contest,a gambler who wins a bet,a person with a record of successes
554	contributors	Migrants are also net contributors to social systems, averaging 1% of the total budgets of European countries.	someone who contributes (or promises to contribute) a sum of money,a writer whose work is published in a newspaper or magazine or as part of a book
555	Organisation	The World Labor Organisation estimates that for example in Germany, an immigrant arriving at the age of 30, will make a net contribution( receipts less expenditure) of an average of 150,000 Euros to public budgets during his lifetime.	the persons (or committees or departments etc.) who make up a body for the purpose of administering something,a group of people who work together,an organized structure for arranging or classifying,an ordered manner; orderliness by virtue of being methodical and well organized,the act of organizing a business or an activity related to a business,the activity or result of distributing or disposing persons or things properly or methodically,the act of forming or establishing something
556	growth	Nicolas Sarkozy wished at the start of his mandate to look for missing points of growth`` with the teeth.''	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level,a progression from simpler to more complex forms,a process of becoming larger or longer or more numerous or more important,vegetation that has grown,the gradual beginning or coming forth,(pathology) an abnormal proliferation of tissue (as in a tumor),something grown or growing
557	effect	The teeth in question, intended to serve to dissuade immigrants, had precisely the opposite effect.	a phenomenon that follows and is caused by some previous phenomenon,an outward appearance,an impression (especially one that is artificial or contrived),the central meaning or theme of a speech or literary work,(of a law) having legal validity,a symptom caused by an illness or a drug,produce,act so as to bring into existence
558	USA	Deutsche Bank pays multi-million pound fine in the USA	North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,the army of the United States of America; the agency that organizes and trains soldiers for land warfare
559	fine	Fresh trouble is following hard on the heels of the uproar around Josef Ackermann, CEO of Deutsche Bank: Deutsche Bank faces a multi-million pound fine in the USA.	money extracted as a penalty,issue a ticket or a fine to as a penalty,being satisfactory or in satisfactory condition,minutely precise especially in differences in meaning,thin in thickness or diameter,characterized by elegance or refinement or accomplishment,of textures that are smooth to the touch or substances consisting of relatively small particles,free from impurities; having a high or specified degree of purity,an expression of agreement normally occurring at the beginning of a sentence,in a delicate manner
560	USA	As if the problems at home were not already enough for Deutsche Bank, the industry giant 's past in the USA is now also catching up with it. Frankfurt-based Deutsche Bank will pay 145 million dollars( 106 million Euros) to settle disputes arising from the bankruptcy of five major credit unions during the financial crisis.	North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,the army of the United States of America; the agency that organizes and trains soldiers for land warfare
561	sale	The issue centres on the sale of mortgage securities.	a particular instance of selling,the general activity of selling,an occasion (usually brief) for buying at specially reduced prices,the state of being purchasable; offered or exhibited for selling,an agreement (or contract) in which property is transferred from the seller (vendor) to the buyer (vendee) for a fixed price in money (paid or agreed to be paid by the buyer)
562	securities	The value of the securities dropped dramatically during the financial crisis and brought down the credit unions.	the state of being free from danger or injury,defense against financial failure; financial independence,freedom from anxiety or fear,a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends,property that your creditor can claim in case you default on your obligation,a department responsible for the security of the institution's property and workers,a guarantee that an obligation will be met,an electrical device that sets off an alarm when someone tries to break in,measures taken as a precaution against theft or espionage or sabotage etc.
563	parties	`` We are happy to have resolved the issue without the parties going to court,'' said a Deutsche Bank spokesman in New York.	an organization to gain political power,a group of people gathered together for pleasure,a band of people associated temporarily in some activity,an occasion on which people can assemble for social interaction and entertainment,a person involved in legal proceedings,have or participate in a party
564	settlement	The bank did not admit culpability in the settlement.	a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government,a community of people smaller than a town,a conclusive resolution of a matter and disposition of it,the act of colonizing; the establishment of colonies,something settled or resolved; the outcome of decision making,an area where a group of families live together,termination of a business operation by using its assets to discharge its liabilities
565	dollars	The same is true of Citigroup, which agreed to pay 20.5 million dollars.	the basic monetary unit in many countries; equal to 100 cents,a piece of paper money worth one dollar,a United States coin worth one dollar,a symbol of commercialism or greed
566	compensation	The NCUA is fighting for compensation for losses that run into the billions.	something (such as money) given or received as payment or reparation (as for a service or loss or injury),(psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors,the act of compensating for service or loss or injury
567	settlements	The current settlements are the first of their kind.	a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government,a community of people smaller than a town,a conclusive resolution of a matter and disposition of it,the act of colonizing; the establishment of colonies,something settled or resolved; the outcome of decision making,an area where a group of families live together,termination of a business operation by using its assets to discharge its liabilities
568	regulator	The regulator had also approached other major banks and sued JPMorgan Chase, the Royal Bank of Scotland and Goldman Sachs in the summer.	any of various controls or devices for regulating or controlling fluid flow\, pressure\, temperature\, etc.,an official responsible for control and supervision of a particular activity or area of public interest,a control that maintains a steady speed in a machine (as by controlling the supply of fuel)
569	fate	This sealed the fate of a number of financial companies when the US property bubble exploded in 2007.	an event (or a course of events) that will inevitably happen in the future,the ultimate agency regarded as predetermining the course of events (often personified as a woman),your overall circumstances or condition in life (including everything that happens to you),decree or designate beforehand
570	height	The US investment bank, Lehman Brothers, went belly-up in September 2008 at the height of the financial crisis.	the vertical dimension of extension; distance from the base of something to the top,the highest level or degree attainable; the highest stage of development,(of a standing person) the distance from head to foot,elevation especially above sea level or above the earth's surface
571	losses	The regulator is demanding that the Frankfurt-based bank take responsibility for`` substantial losses,'' but has not yet specified the exact sum.	something that is lost,gradual decline in amount or activity,the act of losing someone or something,the disadvantage that results from losing something,the experience of losing a loved one,the amount by which the cost of a business exceeds its revenue,military personnel lost by death or capture,euphemistic expressions for death
572	Assessment	This document is a summary of the European Public Assessment Report( EPAR).	the classification of someone or something with respect to its worth,an amount determined as payable,the market value set on assets,the act of judging or assessing a person or situation or event
573	infusion	Alimta is a powder that is made up into a solution for infusion( drip into a vein).	a solution obtained by steeping or soaking a substance (usually in water),the process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water),(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force),the act of infusing or introducing a certain modifying element or quality
574	types	Alimta is used to treat two types of cancer: pleural mesothelioma( cancer of the lining of the lungs that is usually caused by exposure to asbestos).	a subdivision of a particular kind of thing,a person of a specified kind (usually with many eccentricities),(biology) the taxonomic group whose characteristics are used to define the next higher taxon,printed characters,all of the tokens of the same symbol,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper,write by means of a keyboard with types,identify as belonging to a certain type
575	past	Alimta is used in combination with cisplatin in patients who have not been treated before, and on its own in patients who have received another type of chemotherapy in the past.	the time that has elapsed,a earlier period in someone's life (especially one that they have reason to keep secret),a verb tense that expresses actions or states in the past,earlier than the present time; no longer current,of a person who has held and relinquished a position or office,so as to pass a given point
576	prescription	The medicine can only be obtained with a prescription.	directions prescribed beforehand; the action of prescribing authoritative rules or directions,a drug that is available only with written instructions from a doctor or dentist to a pharmacist,written instructions for an optician on the lenses for a given person,written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient,available only with a doctor's written prescription
577	weight	The recommended dose of Alimta is 500 mg per square metre of body surface area( calculated using the patient s height and weight).	the vertical force exerted by a mass as a result of gravity,sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms,the relative importance granted to something,an artifact that is heavy,an oppressive feeling of heavy force,a system of units used to express the weight of something,a unit used to measure weight,(statistics) a coefficient assigned to elements of a frequency distribution in order to represent their relative importance,weight down with a load,present with a bias
578	dehydration	When Alimta is given with cisplatin, an anti-emetic medicine( to prevent vomiting) and fluids( to prevent dehydration) should also be given before or after the cisplatin dose.	dryness resulting from the removal of water,depletion of bodily fluids,the process of extracting moisture
579	patients	Alimta is not recommended for use in patients with moderate or severe kidney problems.	a person who requires medical care,the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause,enduring trying circumstances with even temper or characterized by such endurance
580	more	For more information, see the Summary of Product Characteristics( also part of the EPAR).	English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia\, the ideal state,(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree,(comparative of `many' used with count nouns) quantifier meaning greater in number,used to form the comparative of some adjectives and adverbs,comparative of much; to a greater degree or extent
581	building blocks	In the body, pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides( the building blocks of DNA and RNA, the genetic material of cells).	a single undivided natural thing occurring in the composition of something else,a block of material used in construction work
582	compared	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone.	qualities that are comparable,examine and note the similarities or differences of,be comparable,consider or describe as similar\, equal\, or analogous,to form the comparative or superlative form on an adjective or adverb
583	patients	For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel( another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past.	a person who requires medical care,the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause,enduring trying circumstances with even temper or characterized by such endurance
584	survived	In all three studies, the main measure of effectiveness was how long the patients survived.	continue to live through hardship or adversity,continue in existence after (an adversity\, etc.),support oneself,live longer than
585	survived	Patients receiving Alimta and cisplatin survived for an average of 12.1 months, compared with 9.3 months in those receiving cisplatin alone.	continue to live through hardship or adversity,continue in existence after (an adversity\, etc.),support oneself,live longer than
586	cell	In the treatment of patients with non-small cell lung cancer, Alimta was as effective as the comparators.	any small compartment,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,a device that delivers an electric current as the result of a chemical reaction,a small unit serving as part of or as the nucleus of a larger political movement,a hand-held mobile radiotelephone for use in an area divided into small sections\, each with its own short-range transmitter/receiver,small room in which a monk or nun lives,a room where a prisoner is kept
587	months	In patients who had received chemotherapy in the past, the average survival time was 8.3 months with Alimta, compared with 7.9 months with docetaxel.	one of the twelve divisions of the calendar year,a time unit of approximately 30 days
588	past	In patients who had not received chemotherapy in the past, the average survival time was 10.3 months in both groups.	the time that has elapsed,a earlier period in someone's life (especially one that they have reason to keep secret),a verb tense that expresses actions or states in the past,earlier than the present time; no longer current,of a person who has held and relinquished a position or office,so as to pass a given point
589	survival	In contrast, patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta.	a state of surviving; remaining alive,a natural process resulting in the evolution of organisms best adapted to the environment,something that survives
590	mathematical	kalgebra is a mathematical calculator based on content markup MathML language.	of or pertaining to or of the nature of mathematics,relating to or having ability to think in or work with numbers,beyond question,statistically possible though highly improbable,characterized by the exactness or precision of mathematics
591	simple	Nowadays it is capable to make simple MathML operations( arithmetic and logical) and to representate 2D and 3D graphs.	any herbaceous plant having medicinal properties,a person lacking intelligence or common sense,having few parts; not complex or complicated or involved,easy and not involved or complicated,apart from anything else; without additions or modifications,exhibiting childlike simplicity and credulity,lacking mental capacity and subtlety,(botany) of leaf shapes; of leaves having no divisions or subdivisions,unornamented
592	graph	kalgebra is a MathML based graph calculator.	a visual representation of the relations between certain quantities plotted with reference to a set of axes,represent by means of a graph,plot upon a graph
593	window	Here 's a screenshot of kalgebra main window	a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent panel (as of an envelope) inserted in an otherwise opaque material,an opening that resembles a window in appearance or function,the time period that is considered best for starting or finishing something,a pane of glass in a window,an opening in a wall or screen that admits light and air and through which customers can be served,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen
594	window	kalgebra main window	a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent panel (as of an envelope) inserted in an otherwise opaque material,an opening that resembles a window in appearance or function,the time period that is considered best for starting or finishing something,a pane of glass in a window,an opening in a wall or screen that admits light and air and through which customers can be served,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen
595	window	kalgebra main window consists in a Console tab, a 2D Graph tab, a 3D Graph tab and a Dictionary tab.	a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent panel (as of an envelope) inserted in an otherwise opaque material,an opening that resembles a window in appearance or function,the time period that is considered best for starting or finishing something,a pane of glass in a window,an opening in a wall or screen that admits light and air and through which customers can be served,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen
596	type	Below these tabs you will find an input field to type your functions or do your calculations.	a subdivision of a particular kind of thing,a person of a specified kind (usually with many eccentricities),(biology) the taxonomic group whose characteristics are used to define the next higher taxon,printed characters,all of the tokens of the same symbol,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper,write by means of a keyboard with types,identify as belonging to a certain type
597	subtraction	+-*/: Addition, subtraction, multiplication and division.	an arithmetic operation in which the difference between two numbers is calculated,the act of subtracting (removing a part from the whole)
598	too	Powers are one way to make roots too.	to a degree exceeding normal or proper limits,in addition
599	function	-gt: It s the way to specify the bounded variable in a function.	(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function),what something is used for,the actions and activities assigned to or required or expected of a person or group,a relation such that one thing is dependent on another,a formal or official social gathering or ceremony,a vaguely specified social event,a set sequence of steps\, part of larger computer program,perform as expected when applied,serve a purpose\, role\, or function,perform duties attached to a particular office or place or function
600	function	abc(params): When the parser finds a function, it checks if abc is an operator.	(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function),what something is used for,the actions and activities assigned to or required or expected of a person or group,a relation such that one thing is dependent on another,a formal or official social gathering or ceremony,a vaguely specified social event,a set sequence of steps\, part of larger computer program,perform as expected when applied,serve a purpose\, role\, or function,perform duties attached to a particular office or place or function
601	definition	?: Piecewise condition definition.	a concise explanation of the meaning of a word or phrase or symbol,clarity of outline
602	conditional	Piecewise is the way we can define conditional operations in kalgebra.	qualified by reservations,imposing or depending on or containing a condition
603	define	It can be used to define a container.	determine the essential quality of,give a definition for the meaning of a word,determine the nature of,show the form or outline of,decide upon or fix definitely
604	user	Now you could ask me, why should the user mind about MathML?	a person who makes use of a thing; someone who uses or employs something,a person who uses something or someone selfishly or unethically,a person who takes drugs
605	other	That s easy. With this, we can operate with functions like cos(), sin(), any other trigonometric functions, sum() or product().	not the same one or ones already mentioned or implied; - the White Queen,recently past,belonging to the distant past,very unusual; different in character or quality from the normal or expected; - Lance Morrow
606	plus()	We can use plus(), times() and everything which has its operator.	a useful or valuable quality,the arithmetic operation of summing; calculating the sum of two or more numbers,on the positive side or higher end of a scale,involving advantage or good
607	useful	kalgebra 's console is useful as a calculator.	being of use or service,having a useful function
608	variables	There you have a list of the declared variables.	something that is likely to vary; something that is subject to variation,a quantity that can assume any of a set of values,a star that varies noticeably in brightness,a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity,liable to or capable of change,marked by diversity or difference,(used of a device) designed so that a property (as e.g. light) can be varied
609	trick	By double clicking on them you will see a dialog that lets you change their values( just a way to trick the log).	a cunning or deceitful action or device,a period of work or duty,an attempt to get you to do something foolish or imprudent,a ludicrous or grotesque act done for fun and amusement,an illusory feat; considered magical by naive observers,a prostitute's customer,(card games) in a single round\, the sequence of cards played by all the players; the high card is the winner,deceive somebody
610	variable	Every time you enter an expression, the ans variable value will be changed to the last result.	something that is likely to vary; something that is subject to variation,a quantity that can assume any of a set of values,a star that varies noticeably in brightness,a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity,liable to or capable of change,marked by diversity or difference,(used of a device) designed so that a property (as e.g. light) can be varied
611	Window	Ctrl N New Window	a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened,a transparent panel (as of an envelope) inserted in an otherwise opaque material,an opening that resembles a window in appearance or function,the time period that is considered best for starting or finishing something,a pane of glass in a window,an opening in a wall or screen that admits light and air and through which customers can be served,(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen
612	log	Flushes the log.	a segment of the trunk of a tree when stripped of branches,the exponent required to produce a given number,a written record of messages sent or received,a written record of events on a voyage (of a ship or plane),measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water,enter into a log\, as on ships and planes,cut lumber\, as in woods and forests
613	libraries	Nice if you want to define some libraries or resume some previous work.	a room where books are kept,a collection of literary documents or records kept for reference or borrowing,a depository built to contain books and other materials for reading and study,(computing) a collection of standard programs and subroutines that are stored and available for immediate use,a building that houses a collection of books and other materials
614	text editor	Generates text files so it should be easy to fix using any text editor, like Kate.	an editor who prepares text for publication,(computer science) an application that can be used to create and view and edit text files
615	Log	Ctrl S Save Log	a segment of the trunk of a tree when stripped of branches,the exponent required to produce a given number,a written record of messages sent or received,a written record of events on a voyage (of a ship or plane),measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water,enter into a log\, as on ships and planes,cut lumber\, as in woods and forests
616	log	Saves the log with all results into an HTML file to be able to print or publish.	a segment of the trunk of a tree when stripped of branches,the exponent required to produce a given number,a written record of messages sent or received,a written record of events on a voyage (of a ship or plane),measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water,enter into a log\, as on ships and planes,cut lumber\, as in woods and forests
617	Quit	Ctrl Q Quit	put an end to a state or an activity,give up or retire from a position,go away or leave,turn away from; give up,give up in the face of defeat of lacking hope; admit defeat
618	program	Shuts the program down.	a series of steps to be carried out or goals to be accomplished,a system of projects or services intended to meet a public need,a radio or television show,a document stating the aims and principles of a political party,an announcement of the events that will occur as part of a theatrical or sporting event,an integrated course of academic studies,(computer science) a sequence of instructions that a computer can interpret and execute,a performance (or series of performances) at a public presentation,arrange a program of or for,write a computer program
619	function	Then your focus will go to an input text box where you can type your function.	(mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function),what something is used for,the actions and activities assigned to or required or expected of a person or group,a relation such that one thing is dependent on another,a formal or official social gathering or ceremony,a vaguely specified social event,a set sequence of steps\, part of larger computer program,perform as expected when applied,serve a purpose\, role\, or function,perform duties attached to a particular office or place or function
620	specify	If you want to use a typical f(x) function it is not necessary to specify it.	specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,decide upon or fix definitely,determine the essential quality of,be specific about,define clearly,design or destine,select something or someone for a specific purpose
621	OK	If you have entered the function click on the OK button to display the graph in the main window.	a state in south central United States,an endorsement,being satisfactory or in satisfactory condition,an expression of agreement normally occurring at the beginning of a sentence
622	graphs	You can set several graphs on the same view.	a visual representation of the relations between certain quantities plotted with reference to a set of axes,represent by means of a graph,plot upon a graph
623	challenge	The Foundation has recently been involved in organising a conference which dealt with this critical challenge.	a demanding or stimulating situation,a call to engage in a contest or fight,questioning a statement and demanding an explanation,a formal objection to the selection of a particular person as a juror,a demand by a sentry for a password or identification,take exception to,issue a challenge to,ask for identification,raise a formal objection in a court of law
624	participants	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities, social partners, voluntary and community organisations as well as service users.	someone who takes part in an activity,a person who participates in or is skilled at some game
625	few	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common.	a small elite group,a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number
626	roles	Note was also taken of the variety of different roles played by public welfare	the actions and activities assigned to or required or expected of a person or group,an actor's portrayal of someone in a play,what something is used for,normal or customary activity of a person in a particular social setting
627	Social	The Foundation organised, together with the European Commission, the Spanish Ministry of Social Affairs and the Galician regional government, a European conference on social exclusion: a major challenge for public welfare services.	a party of people assembled to promote sociability and communal activity,relating to human society and its members,living together or enjoying life in communities or organized groups,relating to or belonging to or characteristic of high society,composed of sociable people or formed for the purpose of sociability,tending to move or live together in groups or colonies of the same kind,marked by friendly companionship with others
628	Foundation	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability.	the basis on which something is grounded,an institution supported by an endowment,lowest support of a structure,education or instruction in the fundamentals of a field of knowledge,the fundamental assumptions from which something is begun or developed or calculated or explained,a woman's undergarment worn to give shape to the contours of the body,the act of starting something for the first time; introducing something new
629	countries	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries.	a politically organized body of people under a single government,the territory occupied by a nation,the people who live in a nation or country,an area outside of cities and towns,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
630	banking	As important industrial sectors, the metal industry and the banking sector were also included.	engaging in the business of keeping money for savings and checking accounts or for exchange or for issuing loans and credit etc.,transacting business with a bank; depositing or withdrawing funds or requesting a loan etc.,tip laterally,enclose with a bank,do business with a bank or keep an account at a bank,act as the banker in a game or in gambling,be in the banking business,put into a bank account,cover with ashes so to control the rate of burning,have confidence or faith in
631	exclusion	Key speakers at the social exclusion conference were( left to right) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high degree of Committee of the Regions Barbara Weiler, Member of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee.	the state of being excluded,the state of being excommunicated,a deliberate act of omission,the act of forcing out someone or something
632	initiatives	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community.	readiness to embark on bold new ventures,the first of a series of actions,serving to set in motion
633	depth	For each country, two or three initiatives have been selected for further in depth case study.	the extent downward or backward or inward,degree of psychological or intellectual profundity,(usually plural) the deepest and most remote part,(usually plural) a low moral state,the intellectual ability to penetrate deeply into ideas,the attribute or quality of being deep\, strong\, or intense
634	analysed	These case studies analysed the background of the initiatives, their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative.	consider in detail and subject to an analysis in order to discover essential features or meaning,break down into components or essential features,make a mathematical\, chemical\, or grammatical analysis of; break down into components or essential features,subject to psychoanalytic treatment
635	document	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes.	writing that provides information (especially information of an official nature),anything serving as a representation of a person's thinking by means of symbolic marks,a written account of ownership or obligation,(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters,record in detail,support or supply with references
636	perspectives	The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers.	a way of regarding situations or topics etc.,the appearance of things relative to one another as determined by their distance from the viewer
637	private	Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers.	an enlisted man of the lowest rank in the Army or Marines,confined to particular persons or groups or providing privacy,concerning things deeply private and personal,concerning one person exclusively,not expressed
638	Seeking	Seeking alternatives to early retirement and redundancy, the project is primarily concerned with the retention, reintegration and retraining of older workers.	the movement of a read/write head to a specific data track on a disk,try to get or reach,try to locate or discover\, or try to establish the existence of,make an effort or attempt,go to or towards,inquire for
639	workers	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined.	a person who works at a specific occupation,a member of the working class (not necessarily employed),sterile member of a colony of social insects that forages for food and cares for the larvae,a person who acts and gets things done
640	discrimination	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.	unfair treatment of a person or group on the basis of prejudice,the cognitive process whereby two or more stimuli are distinguished
641	member	Seven member states are covered by the project: Belgium, France, Germany, Greece, Italy, the Netherlands and the United Kingdom.	one of the persons who compose a social group (especially individuals who have joined and participate in a group organization),anything that belongs to a set or class,an external body part that projects from the body,an organization that is a member of another organization (especially a state that belongs to a group of nations),the male organ of copulation (`member' is a euphemism)
642	European	This document is a summary of the European Public Assessment Report.	a native or inhabitant of Europe,of or relating to or characteristic of Europe or the people of Europe
643	tablet	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection.	a slab of stone or wood suitable for bearing an inscription,a number of sheets of paper fastened together along one edge,a small flat compressed cake of some substance,a dose of medicine in the form of a small pellet
644	tablets	The tablets are pale-orange and have a score line on both sides so that they can be halved.	a slab of stone or wood suitable for bearing an inscription,a number of sheets of paper fastened together along one edge,a small flat compressed cake of some substance,a dose of medicine in the form of a small pellet
645	vomiting	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy( medicines used for the treatment of cancer, some of which are known to cause vomiting).	the matter ejected in vomiting,a medicine that induces nausea and vomiting,the reflex act of ejecting the contents of the stomach through the mouth,eject the contents of the stomach through the mouth
646	injection	In combination with supportive measures such as other veterinary treatment or a special diet, Cerenia can also be used in the treatment of vomiting( either as injection or as injection followed by tablets).	the forceful insertion of a substance under pressure,any solution that is injected (as into the skin),the act of putting a liquid into the body by means of a syringe
647	purposes	For these purposes, Cerenia can be given for up to five days	an anticipated outcome that is intended or that guides your planned actions,what something is used for,the quality of being determined to do or achieve something; firmness of purpose,propose or intend,reach a decision
